DT_REFERENCIA;PROJETO;TIPO;VALOR_TEC;VALOR_COM
01/03/2024;PRJ-91919;GUIA;9;9
01/03/2024;PRJ-91924;GUIA;9;9
01/03/2024;PRJ-99367;GUIA;9;9
01/03/2024;PRJ-99643;GUIA;9;9
01/03/2024;PRJ-99165;GUIA;9;9
01/03/2024;PRJ-99129;GUIA;9;9
01/03/2024;PRJ-99993;GUIA;9;9
01/03/2024;PRJ-91455;GUIA;9;9
01/03/2024;PRJ-99376;GUIA;9;9
01/03/2024;PRJ-99211;GUIA;9;9
01/03/2024;PRJ-92946;GUIA;9;9
01/03/2024;PRJ-99391;GUIA;9;9
01/03/2024;PRJ-99718;GUIA;9;9
01/03/2024;PRJ-99397;GUIA;9;9
01/03/2024;PRJ-92143;GUIA;9;9
01/03/2024;PRJ-99765;GUIA;9;9
01/03/2024;PRJ-91998;GUIA;9;9
01/03/2024;PRJ-91227;GUIA;9;9
01/03/2024;PRJ-91616;GUIA;9;9
01/03/2024;PRJ-91671;GUIA;9;9
01/03/2024;PRJ-91673;GUIA;9;9
01/03/2024;PRJ-91299;GUIA;9;9
01/03/2024;PRJ-99838;GUIA;9;9
01/03/2024;PRJ-99541;GUIA;9;9
01/03/2024;PRJ-99551;GUIA;9;9
01/03/2024;PRJ-91392;GUIA;9;9
01/03/2024;PRJ-99753;GUIA;9;9
01/03/2024;PRJ-92949;GUIA;9;9
01/03/2024;PRJ-99418;GUIA;9;9
01/03/2024;PRJ-99479;GUIA;9;9
01/03/2024;PRJ-91121;GUIA;9;9
01/03/2024;PRJ-99293;GUIA;9;9
01/03/2024;PRJ-99998;GUIA;9;9
01/03/2024;PRJ-99915;GUIA;9;9
01/03/2024;PRJ-99748;GUIA;9;9
01/03/2024;PRJ-99789;GUIA;9;9
01/03/2024;PRJ-91439;GUIA;9;9
01/03/2024;PRJ-91337;GUIA;9;9
01/03/2024;PRJ-99983;GUIA;9;9
01/03/2024;PRJ-99311;GUIA;9;9
01/03/2024;PRJ-91231;GUIA;9;9
01/03/2024;PRJ-99128;GUIA;9;9
01/03/2024;PRJ-91852;GUIA;9;9
01/03/2024;PRJ-99957;GUIA;9;9
01/03/2024;PRJ-92192;GUIA;9;9
01/03/2024;PRJ-91595;GUIA;9;9
01/03/2024;PRJ-91815;GUIA;9;9
01/03/2024;PRJ-99281;GUIA;9;9
01/03/2024;PRJ-92524;GUIA;9;9
01/03/2024;PRJ-91698;GUIA;9;9
01/03/2024;PRJ-99316;GUIA;9;9
01/03/2024;PRJ-91556;GUIA;9;9
01/03/2024;PRJ-99437;GUIA;9;9
01/03/2024;PRJ-99669;GUIA;9;9
01/03/2024;PRJ-99442;GUIA;9;9
01/03/2024;PRJ-99443;GUIA;9;9
01/03/2024;PRJ-99939;GUIA;9;9
01/03/2024;PRJ-91999;GUIA;9;9
01/03/2024;PRJ-99949;GUIA;9;9
01/03/2024;PRJ-99116;GUIA;9;9
